id,name,about,network,followersCount,proposalsCount,gov_model
myirafund.eth,🏦 myIRA.fund,my IRA onchain (coming 🔜) ● 🤖 Ai Agents (phase 2) ● Project by: 🤖 AiAgents.box + ♾️ WeOwn.Network ● Part of 3️⃣win Social ecosystem,1,5,5,hybrid
xmaquina.eth,XMAQUINA,The Home of Decentralized Robotics.,3338,87,5,hybrid
raredao.eth,RareDAO,$RARE Governance,1,0,0,hybrid
muri.eth,Muri,The MURI Revolution has begun. The offical DAO of Muri. ,1,12,3,hybrid
truemarkets-dev.eth,Truemarkets DEV,News Powered by Markets,8453,6,22,hybrid
superfluid.eth,Superfluid,,8453,325,6,hybrid
walletconnect.eth,WalletConnect Network,"The onchain UX ecosystem.
STAKING WCT = VOTING POWER
STAKE NOW --> staking.walletconnect.network ",10,6816,3,hybrid
daobaseai.eth,DAOBase DAO,"⚡ Your buzzing hive for DAO launches, aggregation, and insights. We're here to bring communities onchain, empowering them to make a real impact. 🌍✨ ",8453,47,2,hybrid
beets-gauges.eth,Beets Gauge Votes,Subspace of beets.eth that handles the gauge votes.,146,137,16,hybrid
superwalk.eth,SuperWalk,Web3 HealthCare & Move-And-Earn dapp with 300k+ users,1,15,1,hybrid
profit.beefy.eth,Beefy Profit Distribution,This space empowers holders of Beefy's BIFI token to decide on the distribution of the Beefy DAO's profits.,1,119,5,hybrid
tradingarmoriondirective.eth,Trading Arm Orion Directive,The Trading Arm of the Orion Directive,369,4,4,hybrid
yieldarmoriondirective.eth,Yield Arm Orion Directive,The Yield Arm for the Orion Directive,369,3,12,hybrid
liquidityarmoriondirective.eth,Liquidity Arm Orion Directive,The liquidity arm of the Orion Directive,369,11,20,hybrid
daoofagents.eth,DAO of Agents (DoA),DAO of Agents (DoA) is the first decentralized organization that combines the power of the community with the intelligence of AI agents,8453,14,5,hybrid
oriondirective.eth,Orion Directive,"The Orion Protocol is built to support financial autonomy through a flexible, community-driven approach.",369,45,6,algorithmic
welf.eth,WELF,"WELF Finance bridges traditional and digital finance, offering HNWIs seamless access to yield-generating, transparent, and liquid investment solutions.",1,1,1,hybrid
popartcats.eth,Pop Art Cats,20% of the PAC royalties go to the treasury. PAC owners can submit proposals that become pending for 10 days followed by a 14 days vote. 1 PAC = 1 voting power.,1,274,6,hybrid
odos.eth,Odos DAO,Odos DAO oversees management of the Odos loyalty program and other aspects of the Odos ecosystem,8453,595,5,hybrid
puffer-gauge.eth,Puffer Gauge,Snapshot space for Puffer's Gauges,1,103,16,token
baklavaspace.eth,Baklava Space,Smart Vault. Governance $BAVA.,1,2,1,hybrid
cybroio.eth,CYBRO DAO,"Welcome to the official governance space of CYBRO, an AI-powered, multichain yield aggregator.",81457,55,6,hybrid
clvorg.eth,CLV,CLV a new era,1,4,2,hybrid
qbio.eth,Quantum Biology DAO,"The Quantum Biology DAO accelerates the quantum biology field through community building, scientific experimentation, research grants and IP development.",1,28,18,hybrid
biohackerdao.eth,BiohackerDAO,"A human enhancement network state 🤖💉🩸
We use data to make superhumans",1,18,10,hybrid
pearprotocol.eth,Pear Protocol,The home of pair-trading,42161,32,2,hybrid
dogami-allies.eth,DOGAMÍ A.L.L.I.E.S,"DOGAMÍ AL.L.I.E.S: Alliance for Leading Limitless Innovation, Exploration, and Strategy in the DOGAMÍ Ecosystem. Votes are not legally binding.",1,193,2,hybrid
breadnbutterfun.eth,BreadnButter Official,"BreadnButter is a web3 topic-based forum on BNB Chain where Communities, content, and social connections are wholly owned by users.",56,76,7,hybrid
mountolympusdao.eth,Mount Olympus DAO,"The official voting venue of the Mount Olympus DAO, home of the robots. ",1,26,7,hybrid
maructo.eth,MARU CTO,"$MARU pays tribute to the legacy of MARUTARO, the famous Shiba Inu with millions of followers worldwide. The community took over this project on October 9th. ",1,24,8,hybrid
ouroboros-dao.eth,Ouroboros DAO,Multi-collateral Stablecoin provisioning and management DAO,1,37,4,hybrid
moxie.eth,Moxie Protocol,Moxie is the financial layer of Farcaster.,8453,109,3,hybrid
lordcheems.eth,Lord Cheems,"Your friendly neighbor Lord Cheems on BSC
Contract: 0x0DF0587216a4a1bB7d5082fdc491d93d2dD4B413",56,13,1,hybrid
seiyantoken.eth,SEIYAN DAO,The original memecoin on SEIYAN,1329,137,5,hybrid
worldlibertyfinancial.com,World Liberty Financial,,1,449,3,hybrid
hyperlockfi.eth,Hyperlock Finance,Hyperlock is a yield & metagovernance protocol built on Thruster and optimized for Blast,81457,252,21,hybrid
apecoin.daopunks.eth,DAOpunks - ApeCoin Delegation,ApeCoin Delegation,1,17,24,delegated
madebyapesvote.eth,Made By Apes,"Made By Apes was created by Yuga on ApeChain to support and amplify holder-made brands, products, and services that feature BAYC, MAYC, and BAKC IP.",1,188,25,hybrid
black-flag.eth,🏴 Black Flag Collective,We fund IRL events.  More info here: https://blackflagcollective.org/,8453,16,11,hybrid
derivexyz.eth,Derive,"Derive is a decentralized protocol that creates unique and programmable onchain options, perpetuals, and structured products.",1,28,8,hybrid
0xgenesisdao.eth,Genesis DAO,Treasury backed community driven DeFi protocol,1,31,1,hybrid
trippiesdelegation.eth,Trippies Delegation,The Trippies Delegation is dedicated to inspiring builders in the Web3 space and expanding the use cases for ApeCoin. We review proposed initiatives within the ,1,11,29,delegated
dopdao.eth,DOP,An innovative approach to data ownership that sets a new standard in blockchain technology.,1,75,3,hybrid
mcemissary.eth,MCEmissary,"MCEmissary is a dedicated community within the Mutant Cartel ecosystem. We represent and amplify the voices of MAYC, Mutant Hounds, and Mutant Cartel Oaths.",1,22,27,hybrid
commudao.eth,CommuDAO,web3 protocol providing on-chain gamification and services for crypto-community. governed by CMDAO governance.,10,15,30,hybrid
bobacatdao.eth,BobaCat DAO,BobaCat DAO empowers $PSPS token holders to guide our charity efforts and project directions through community-driven proposals and voting.,1,43,5,hybrid
unlock-dao.eth,Unlock DAO,"The Unlock DAO is a global community of developers, creators, and organizations dedicated to decentralized access and distribution. ",8453,32,40,hybrid
psydao.eth,PsyDAO,Promoting progress in psychedelic Science and Art,1,45,17,hybrid
dackie.eth,DackieSwap,The DackieSwap DAO (Decentralized Autonomous Organization) is a governance framework that allows DACKIE token holders to participate in key decisions that shape,8453,10333,13,algorithmic
stakersunion.eth,Stakers Union,"The home-stakers collective
Empowering individual stakers, preserving decentralization",1,22,9,hybrid
smallgrants.apecoingwg.eth,GWG Small Grants,The ApeCoin DAO Governance Working Group is a community-operated entity operating within the ApeCoin ecosystem.,1,22,34,hybrid
dinero.xyz,Dinero,"Dinero is a suite of products that scale yield for protocols and users.
",1,977,104,hybrid
listavote.eth,ListaDao,"Enjoy secure, simple and permissionless liquid staking and stablecoin lending solutions",56,1882,21,hybrid
bnbchain-dao.eth,bnbchain-dao,"Build N Build Chain aka BNB Chain, one of the most popular blockchains in the world, dedicates to delivering its core infrastructure necessary for future public",56,419,4,hybrid
zklink.eth,zkLink,Build on the world’s first ZK Aggregated Layer 3 and access limitless liquidity with zkLink's Rollup solutions.,810180,3822,5,hybrid
apesplusdao.eth,ApesPlus,A private community-led digital clubhouse for Apes & extended Yugaverse. Here to give BAYC and MAYC a collective input in the ApeCoin DAO.,1,82,50,hybrid
wormholegovernance.eth,Wormhole,The official Snapshot space for Wormhole Governance,1,20,1,token
ancient8fdn.eth,Ancient8,,1,57,0,hybrid
pc.blastfoundation.eth,Blast Progress Council,,81457,15,2,hybrid
greenpilldevguild.eth,Greenpill Dev Guild,The Greenpill Dev Guild is centered around building regenerative software applications for Chapters and the regen space at large.,10,8,1,hybrid
zarosfi.eth,Zaros Governance,,1,37,7,hybrid
blastfoundation.eth,Blast,The L2 with native yield. ,81457,150,2,hybrid
diodefoundation.eth,Diode Community DAO,Worldwide secure communications via the Diode Network,1,7,19,hybrid
big-care.lisafoundation.eth,Big Care by LISA Foundation,"In this space, collectors of Big Care by FVCKRENDER on LISA Foundation can make governance proposals and decisions.",1,4,1,hybrid
ultravioletadao.eth,Ultravioleta DAO,"la elite de web3 en latam, empoderando  e iluminando el camino de comunidades online hacia un nuevo sistema financiero en el que todo el mundo pueda participar",43114,121,84,hybrid
the-alana-project.eth,The ALANA Project,"The ALANA Project is a community of learners, creators, and builders who collaborate to create entertaining and gamified products.",10,12,7,hybrid
uxlinkcommunity.eth,UXLINK,"UXLINK is a web3 social platform and infrastructure, LINK USERS, LINK DAPPS, LINK X
",42161,46,3,hybrid
stp.eth,AWE Network,"Opening the portal to Autonomous Worlds where AI Agents collaborate, adapt and evolve.",8453,1020,12,algorithmic
common-wealth.eth,Common Wealth,CW is an early stage investment system for everyone - creating an all-access pass for retail investors to take control of their financial future. ,8453,50,14,hybrid
peapodssnapshot.eth,Peapods Finance,Peapods is a permissionless DeFi platform offering sustainable yield on any asset through 'Volatility Farming.',42161,5,12,hybrid
holographxyz.eth,Holograph,"Holograph is an omnichain tokenization protocol, enabling asset issuers to mint natively composable omnichain tokens.",1,99,1,hybrid
fomoclub.eth,Fomo Club,Nothing special.,56,1174,8,hybrid
tlbank.banklessvault.eth,tlBANK Snapshot,Snapshot space for BanklessDAO tlBANK voters.,1,68,15,token
pactfoundation.eth,PACT,"Transforming credit around the corner and across the world by originating, structuring, and financing on‑chain credit in emerging markets.",42220,22,3,hybrid
optimismtownhall.eth,Optimism Town Hall,A collaborative space for discussions about the Optimism Collective and Superchain. Learn more and join the events at lu.ma/optimismtownhall. ,10,38,62,hybrid
sandboxdao.eth,The Sandbox DAO,"Sandbox Improvement Proposals (SIP) are live every other Wednesday at 9 a.m. CET for 14 days. 
SIP are discussed on the forum in ""SIP: Active""'",1,14103,35,hybrid
2720.eth,Buddha DAO,"Welcome to BuddhaDAO, a self-sustaining decentalized oasis for self-exploration, mindful investing, spirituality, and connections. ",1,10,3,hybrid
bmxonbase.eth,BMX,"Trade over 300+ cryptocurrencies and any onchain media with BMX, while accessing the power of composable liquidity.",8453,30,24,hybrid
muitofinance.eth,Muito Finance ,Muito Finance is a yield aggregator on Mantle that provides a variety of strategies to users of all risk preferences.,5000,29,10,hybrid
goverland.eth,Goverland,Goverland is a mobile app for all DAOs that takes governance UX to the next level for DAO participants.,1,7,1,hybrid
polterfinance.eth,Polter Finance,,146,86,13,hybrid
cerebrumdao.eth,Cerebrum DAO,"We are a network organization collectively researching, financing, and commercializing research to extend brain health in an open and democratic manner.",1,83,18,hybrid
1uptokyo.eth,1UP,,1,11,52,hybrid
weirdobase.eth,WeirDAO,"da mission is to unite the weirdest weirdos (69m+ of dem), to da super based chain",8453,148,13,hybrid
ethenagovernance.eth,Ethena,"Ethena is a synthetic dollar protocol built on Ethereum that provides a crypto-native solution for money, achieved by delta-hedging ETH and BTC collateral.",1,467,4,hybrid
fomobase.eth,FOMO,$FOMO made me do it. The coin with 100% liquidity locked for 69 years. ,8453,14,1,hybrid
karrat.eth,KARRATco,"The official snapshot for the KarratCoin Community. Committed to building and supporting a vibrant gaming, entertainment, and AI ecosystem for developers.",1,56,23,token
reserveprotocol.eth,Reserve,"Reserve’s goal is to fight inflation and expand access to better financial products like DTFs (Decentralized Token Folios), which are onchain indexes like ETFs",1,26,4,hybrid
kumatokens.eth,KUMA DAO,"Kuma Inu ( $KUMA / $dKUMA )
Community Driven DeFi ecosystem created by a $SHIB/$LEASH developer.
Stake your meme tokens and claim $dKuma rewards.",1,69,20,hybrid
mixin-autonomous-organization.eth,Mixin Autonomous Organization,MAO governs all about Mixin Network.,1,2925,7,algorithmic
honeypotfi.eth,Honeypot Finance,"PoL Accelerator on @Berachain 🐻⛓🍯
https://discord.gg/2G6UZSqYtg",1,230,2,hybrid
eventhorizongitcoin.eth,Event Horizon Gitcoin,"Public Good, Public-Access Governance Pool

Proposals requiring Gitcoin Passport",1,30,55,hybrid
swarmfoundation.eth,Swarm Foundation,"Swarm is a decentralised data storage and distribution technology. Ready to power the next generation of censorship-resistant, unstoppable, serverless dapps.",1,2613,1,hybrid
dehedge.eth,deHedge,"A new multi-chain decentralized finance (Defi) protocol offering innovative yield generation, backed by tangible real-world assets.",42161,44,26,hybrid
k9safe.eth,K9 Finance DAO,Governing the K9 Finance DAO treasury and liquid staking protocol for Shibarium.,1,176,24,hybrid
ideation.shapeshiftdao.eth,ShapeShift Ideation,A minimum FOX Voting power needed can publish ideation posts. 7 days eligible.  (https://forum.shapeshift.com/t/workstream-proposal-scp-template/3249),1,43,28,hybrid
cadabradao.eth,Cadabra Finance,,146,12,4,hybrid
nounsamigos.eth,Nouns Amigos,La comunidad de Nouns en español ⌐◨-◨,1,94,38,hybrid
mintodao.eth,Minto DAO,Minto tokenizes mining power and allows mining Bitcoin by staking BTCMT token. Community discussion here: https://t.me/btcmtofficialchat,56,11,2,hybrid
joelube.eth,LUBE,"We are bald. We are elite. We are billionaires. We look just like Joseph Lubin, the co-founder of Ethereum, Metamask and Linea.",1,48,1,hybrid
opaldefi.eth,Opal DeFi,"Opal is a set and forget, user friendly and diversified access to sophisticated farming strategies on major crypto assets.",1,22,140,hybrid
mendifinance.eth,Mendi Finance,Mendi Finance is a decentralized lending and borrowing protocol. ,59144,660,28,hybrid
arbiusdao.eth,Arbius,Arbius is a decentralized network for machine learning and a token with a fixed supply like Bitcoin. New coins are generated with GPU power.,1,41,4,hybrid
heurist.eth,Heurist Protocol,"Heurist is a decentralized AI cloud, built upon a layer-2 blockchain",1,93,11,hybrid
mtpelerin.eth,Mt Pelerin,The Swiss gateway to the crypto world.,1,29,15,hybrid
toshibase.eth,Toshi: MEOW DAO,MEOW DAO voting: Decentralized governance for all Toshi ecosystem product holders. Upcoming votes will be announced on social media.,8453,446,6,hybrid
itsartifact.eth,Beetle,Artifact3,1,5,1,hybrid
daobim.eth,BIM,The BIM Token is the governance token for BIM Protocol. ,8453,53,33,hybrid
pscott.eth,YourDAO,test,1,2,13,hybrid
propchaindao.eth,Propchain DAO,Blockchain Ecosystem for Real-World Asset & PropTech Solutions.,1,20,4,hybrid
altctrl.eth,AltCTRL,"Powerful, all-in-one #DeFi platform built on safe projects, community, and cats.",1,26,5,hybrid
maviavote.eth,Heroes of Mavia,Heroes of Mavia is a Web3 mobile strategy game available on iOS and Android.,8453,9009,4,hybrid
strategysports.eth,Strategy Sports Network DAO,Strategy Sports Network was created by a group of sports fans looking to combine sports and crypto in new innovative ways!,1,19,5,hybrid
opendatacommunity.eth,DataGrants Program for ARB,We help to protect web3 via data analysis and related software,42161,30,17,hybrid
spacefi-io.eth,SpaceFi,"The DeFi hub on zkSync Era with DEX+NFT+Spacebase+Launchpad, exploring the Layer2 ecosystem.",324,409,1,hybrid
gov.bloomstudio.eth,Bloom Studio,"Bloom is a decentralized studio creating immersive, expressive games & other audiovisual experiences within a scalable, collective micro-economy",42161,21,42,hybrid
shutterdao0x36.eth,Shutter DAO 0x36,This is a Snapshot space for Shutter DAO 0x36. Shutter is an anti-frontrunning/malicious MEV protocol using threshold encryption.,1,4174,53,token
0xuncommons.eth,Uncommons,"Crypto Salon for Public Goods Builders.
Uncommons is a public sphere where a collective of public goods builders explores crypto thoughts together.",1,24,32,hybrid
nominations.superraredao.eth,RareDAO Council Nominations,Nomination proposals for annual RareDAO Council elections.,1,13,20,hybrid
citizenshouse.eth,Citizens' House,,1,224,28,hybrid
anticapturecommission.eth,Anti-Capture Commission,,10,56,24,hybrid
radpiexyz.eth,Radpie,Maximize your yield on Radiant Capital,1,31,21,hybrid
argocoin.eth,Devolved AI,"Welcome to AI owned by you. Built on blockchain technology, Devolved AI embodies trust, transparency, and community governance. All powered by #Argocoin.",137,209,33,hybrid
extradao.eth,Extra Finance,"Extra Finance is a leveraged yield strategy & lending protocol.  
Amplify your yield on #LSD #stablecoin",1,972,125,hybrid
vaultcraft-snapshot.eth,VaultCraft,"VaultCraft is a no-code, DeFi infrastructure for customizing, monetizing, and deploying automated, non-custodial yield strategies in a few clicks.",1,966,63,hybrid
posttechdao.eth,Post Tech DAO,The official snapshot space for the Post Tech DAO,1,506,15,token
polls.orbapp.eth,Orb Polls,Web3 Social,1,20,0,hybrid
test.orbapp.eth,testing new stuff,,1,2,23,hybrid
the-co-dao.eth,CoDAO,CoDAO is the DAO that controls the Co Token,1,19,11,hybrid
betadao.eth,Beta DAO,"The Omni protocol is a novel composable, dynamic, and safer money market capable of handling all collateral and borrow types w/ zero fragmentation and maximal c",56,27,41,hybrid
cryptomods.eth,Moons Governance,"This space is for all governance decisions related to $MOONS, r/CryptoCurrency and all satellite communities. ",1,375,52,hybrid
spectradao.eth,Spectra DAO,Spectra is an open Interest Rates Derivatives Protocol. The SPECTRA token is designed to govern the protocol in a decentralized way. ,8453,77,119,hybrid
truefi-dao.eth,TrueFi DAO,"TrueFi is the infrastructure for on-chain credit. TrueFi connects lenders, borrowers, and portfolio managers via smart contracts governed by the TRU token.",1,20,21,hybrid
sdcake.eth,sdcake.eth,sdCAKE meta governance platform for vote replication on PancakeSwap,56,21,53,hybrid
ens-streams.eth,ENS Streams Nomination,Nominations for ENS Streams Service Provider,1,14,7,hybrid
seamlessprotocol.eth,Seamless,"Seamless is the first native, decentralized lending protocol on Base. Seamless paves the way for modern DeFi with higher capital efficiency and seamless UX.",8453,608,21,hybrid
insrt-team.eth,insrt,ShardVaults are insrt’s first product - they pay yield to users for becoming partial owners of Bluechip NFTs. The Vaults democratize Bluechip NFT ownership by o,1,74,36,hybrid
sentiment.epochisland.eth,Epoch Island: Sentiment Check,Snapshot space for sentiment checks with lower posting requirements and quorum. Proposals/posts created in this space cannot execute transactions on-chain.,1,16,3,token
mangrove.eth,Mangrove DAO,,1,67,8,hybrid
dysonfinance.eth,Dyson Finance,"DEX Simplified, Profits Amplified: Dyson Finance is a Decentralized Liquidity protocol. ",1101,1195,3,hybrid
trvl.eth,TRVL,"TRVL is the utility token of Dtravel, an ecosystem empowering ownership in travel. ",1,28,1,hybrid
daoxperience.eth,CryoDAO Demo Governance,"CryoDAO's goal is to solve death by funding, incubating and advancing cryopreservation research.",1,12,0,hybrid
piggydao.eth,PiggyCDao,PiggyC building a happy space for everyone in crypto,1,23,10,hybrid
pion-network.eth,Muon Network,"General-Purpose, Request-Based Validation Layer.
Powering the intent-centric economy of tomorrow.",56,108,5,hybrid
zkskulls.eth,zkSkulls,zkSkulls is a Collection of pixelated skulls. focused on establishing pixelated brand and building a strong community with varied utilities. Deployed on zkSync ,324,947,0,hybrid
prismafinance.eth,Prisma Finance,The end game for liquid staking tokens. A non-custodial and decentralized Ethereum LST-backed stablecoin.,1,108,49,hybrid
rfrmdao.eth,Reform DAO,Reforming the Market Making industry ,1,6469,9,hybrid
graphadvocates.eth,Graph AdvocatesDAO,We're driving greater participation in building a decentralized web3 & growing The Graph ecosystem through community-based initiatives & advocate contributions,1,64,47,hybrid
status.eth,Status.app,"The open source, decentralised crypto communication super app.  Discuss new initiative proposals in our forum https://discuss.status.app/c/proposals/77",1,56,1,hybrid
horizenfoundationtechnical.eth,Horizen Technical,"The official snapshot space for the Horizen DAO Technical proposals. 
Quorum: >5% of $ZEN circulating supply;
Pass: >=67% of votes in favour.",8453,74,9,token
epochisland.eth,Epoch Island,https://epochisland.io/,1,96,76,hybrid
hbicharity.eth,HBI DAO,"HBIDAO is a DAO-powered on-chain fund built for crypto trading, research, and asset management. Community votes drive the direction of our on-chain ETFs.",137,21,5,hybrid
getverse.eth,Verse,"VERSE is the reward and utility token for the Bitcoin.com ecosystem

Solving crypto's biggest challenge: onboarding new users to self-custodial and defi tools.",1,55,13,hybrid
spacetokendao.eth,Space Token,"Space Token (SPACE) is the utility cross-chain token for Final Autoclaim, a crypto-earning website that allows users to earn over 80 different cryptocurrencies ",1,56,13,hybrid
unirita2023ie03.eth,UNIRITA2023IE03,2023年度ユニリタユーザ会IE03チームが作成したDAO「ユニリタユーザ会」の投票スペース,137,2,13,hybrid
sdfxn.eth,sdFXN,Stake DAO metagovernance space for sdFXN,1,8,62,hybrid
gtprotocoldao.eth,GT Protocol DAO,"Web 3.0 AI execution protocol
",56,34,2,hybrid
plrdao.eth,Pillar DAO,Pillar DAO Official Snapshot for DAO Governance,137,10,13,token
coredaogov.eth,Core DAO Governance ,The Decentralization of Bitcoin with the Expressiveness and Composability of Ethereum,1116,997,7,hybrid
avafoundation.eth,AVA Community,The AVA Foundation’s overarching mission is to create a decentralised and self-sufficient blockchain-based loyalty ecosystem.,1,242,17,hybrid
ownthedoge.eth,Own The Doge,Own The Doge is the community that owns The Doge NFT via DOG token and guides the future of Doge.,1,307,20,hybrid
kommunedao.eth,Kommune DAO,"Kommune DAO는 Kaia GC로 참여하는 첫 번째 커뮤니티 DAO 멤버입니다. Kaia의 GC는 카이아의 운영 방향성에 대한 투표권을 비롯한 핵심 권한을 가진 만큼, GC의 참여 저조나 일탈 행위에 대한 견제는 재단 차원에서도, GC멤버들 차원에서도 반드시 필요합니다. ",8217,33,71,hybrid
infinex.eth,Infinex,The UX layer for DeFi,10,389,160,hybrid
coincollect.app,CoinCollect,"CoinCollect is a novel DeFi platform, concentrating on enhancing the value of NFTs through utility features. It allows users to stake, farm, trade NFTs",137,823,10,hybrid
cowtesting.eth,CoW DAO,CoW DAO is stewarding the CoW Protocol Ecosystem. Start your proposal here: https://forum.cow.fi,1,7,5,hybrid
cbidao.eth,CBI DAO,The Crypto DAO for Wealth Creation,137,44,11,hybrid
vote.cryodao.eth,CryoDAO,CryoDAO is funding moonshot research in the field of cryopreservation.,1,110,27,hybrid
mozaicfinance.eth,Mozaic,"AI-Optimized Yield and Liquidity Strategies.
Powered by LayerZero.",42161,737,15,hybrid
liquis.eth,Liquis,Boosted Bunni Emissions on Uniswap v3,1,52,57,hybrid
ododao.eth,ODO DAO,The name ODO is called after The Dispossessed novel by Ursula Guin. Democracy 5.0 is ODO’s first product. ODO is the community that decentralizes how D5 is run.,42161,5,40,hybrid
dao.connext.eth,Everclear,"Everclear coordinates the global settlement of liquidity between chains, solving fragmentation for modular blockchains.",1,444,63,hybrid
councilofrivendell.eth,Telcoin Governance,"Vote for TGIP1 on December 21st to adopt the next generation of the Telcoin Platform governance system, and ratify the Association Constitution.",1,275,1,hybrid
